molecule,heavy_atom_limit,depth,eval,nb_valid,nb_invalid,time
C,1,2,chembl,6,0,5.73
C,1,2,chembl_zinc,6,0,6.75
C,2,2,chembl,19,18,6.92
C,2,2,chembl_zinc,19,18,7.34
C,3,2,chembl,57,244,8.87
C,3,2,chembl_zinc,59,243,9.78
C,4,2,chembl,160,2444,66.57
C,4,2,chembl_zinc,221,2634,30.74
C,5,2,chembl,465,18800,146.35
C,5,2,chembl_zinc,744,22528,176.32
C,6,2,chembl,1445,126676,2746.80
C,6,2,chembl_zinc,2517,166886,2894.47
C,7,2,chembl,5140,868448,5370.17
C,7,2,chembl_zinc,9106,1191302,9201.66
C,8,2,chembl,20515,5980634,41049.27
C,8,2,chembl_zinc,36266,8431849,67764.22
C,9,2,chembl,81745,39101086,261611.42
C,9,2,chembl_zinc,149933,57946930,517860.62
C,10,2,chembl,328610,243861106,2391354.98
